City_or_Regency,Vaccinated,Fully_Vaccinated,Total,Date,URL,
KAB SITUBONDO,1873,,1873,2/7/2021,https://twitter.com/KominfoJatim/status/1358447691290693634/photo/,
KAB PACITAN,1231,,1231,2/7/2021,https://twitter.com/KominfoJatim/status/1358447691290693634/photo/,
KAB TULUNGAGUNG,5320,,5320,2/7/2021,https://twitter.com/KominfoJatim/status/1358447691290693634/photo/,
KAB SIDOARJO,9173,1919,11092,2/7/2021,https://twitter.com/KominfoJatim/status/1358447691290693634/photo/,
KOTA MOJOKERTO,2672,,2672,2/7/2021,https://twitter.com/KominfoJatim/status/1358447691290693634/photo/,
KAB GRESIK,6113,1291,7404,2/7/2021,https://twitter.com/KominfoJatim/status/1358447691290693634/photo/,
KAB PONOROGO,3540,,3540,2/7/2021,https://twitter.com/KominfoJatim/status/1358447691290693634/photo/,
KAB LAMONGAN,5340,,5340,2/7/2021,https://twitter.com/KominfoJatim/status/1358447691290693634/photo/,
KOTA PASURUAN,1420,,1420,2/7/2021,https://twitter.com/KominfoJatim/status/1358447691290693634/photo/,
KAB JEMBER,6636,,6636,2/7/2021,https://twitter.com/KominfoJatim/status/1358447691290693634/photo/,
KOTA BATU,1559,,1559,2/7/2021,https://twitter.com/KominfoJatim/status/1358447691290693634/photo/,
KAB NGANJUK,3451,,3451,2/7/2021,https://twitter.com/KominfoJatim/status/1358447691290693634/photo/,
KAB JOMBANG,5107,,5107,2/7/2021,https://twitter.com/KominfoJatim/status/1358447691290693634/photo/,
KOTA KEDIRI,4244,,4244,2/7/2021,https://twitter.com/KominfoJatim/status/1358447691290693634/photo/,
KAB BLITAR,2768,,2768,2/7/2021,https://twitter.com/KominfoJatim/status/1358447691290693634/photo/,
KAB MOJOKERTO,3589,,3589,2/7/2021,https://twitter.com/KominfoJatim/status/1358447691290693634/photo/,
KAB BONDOWOSO,2542,,2542,2/7/2021,https://twitter.com/KominfoJatim/status/1358447691290693634/photo/,
KOTA MADIUN,3398,,3398,2/7/2021,https://twitter.com/KominfoJatim/status/1358447691290693634/photo/,
KAB LUMAJANG,3304,,3304,2/7/2021,https://twitter.com/KominfoJatim/status/1358447691290693634/photo/,
KAB BOJONEGORO,4042,,4042,2/7/2021,https://twitter.com/KominfoJatim/status/1358447691290693634/photo/,
KAB PROBOLINGGO,2722,,2722,2/7/2021,https://twitter.com/KominfoJatim/status/1358447691290693634/photo/,
KOTA SURABAYA,32904,9536,42440,2/7/2021,https://twitter.com/KominfoJatim/status/1358447691290693634/photo/,
KAB TULUNGAGUNG,5320,,5320,2/8/2021,https://twitter.com/KominfoJatim/status/1358873463780347905/photo/,
KAB GRESIK,6426,1640,8066,2/8/2021,https://twitter.com/KominfoJatim/status/1358873463780347905/photo/,
KAB SIDOARJO,9173,3114,12287,2/8/2021,https://twitter.com/KominfoJatim/status/1358873463780347905/photo/,
KOTA MOJOKERTO,2681,,2681,2/8/2021,https://twitter.com/KominfoJatim/status/1358873463780347905/photo/,
KAB PONOROGO,3540,,3540,2/8/2021,https://twitter.com/KominfoJatim/status/1358873463780347905/photo/,
